File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD11A2_061_LST_Day_1km_doy2023361000000_aid0001,LST_Day_1km,aid0001,2023-12-27,123.0,299.1,304.68,"(299.1,304.68)",302.0308943,0.8131691,0.6612439,302.38,303.26,301.94,300.8,301.69
MOD11A2_061_LST_Day_1km_doy2024001000000_aid0001,LST_Day_1km,aid0001,2024-01-01,123.0,302.54,306.98,"(302.54,306.98)",303.8180488,0.8737562,0.7634499,304.16,305.42,303.64,302.54,303.26
MOD11A2_061_LST_Day_1km_doy2024009000000_aid0001,LST_Day_1km,aid0001,2024-01-09,123.0,302.58,306.36,"(302.58,306.36)",304.4484553,0.8594156,0.7385952,305.05,306.36,304.34,302.58,303.79
MOD11A2_061_LST_Day_1km_doy2024017000000_aid0001,LST_Day_1km,aid0001,2024-01-17,123.0,298.66,303.46,"(298.66,303.46)",300.542439,0.9659423,0.9330445,301.32,303.46,300.4,298.66,299.62
MOD11A2_061_LST_Day_1km_doy2024025000000_aid0001,LST_Day_1km,aid0001,2024-01-25,123.0,301.12,307.66,"(301.12,307.66)",303.6426016,1.3799375,1.9042274,304.17,306.06,303.38,301.12,302.79
MOD11A2_061_LST_Day_1km_doy2024033000000_aid0001,LST_Day_1km,aid0001,2024-02-02,123.0,302.2,312.22,"(302.2,312.22)",305.9804878,2.0014019,4.0056095,306.91,310.0,305.84,302.2,304.67
MOD11A2_061_LST_Day_1km_doy2024041000000_aid0001,LST_Day_1km,aid0001,2024-02-10,123.0,304.56,312.76,"(304.56,312.76)",308.8250407,1.8545319,3.4392884,310.22,312.76,309.02,304.56,307.34
MOD11A2_061_LST_Day_1km_doy2024049000000_aid0001,LST_Day_1km,aid0001,2024-02-18,123.0,301.54,307.04,"(301.54,307.04)",304.3406504,1.0826914,1.1722207,304.93,306.02,304.48,302.32,303.79
MOD11A2_061_LST_Day_1km_doy2024057000000_aid0001,LST_Day_1km,aid0001,2024-02-26,123.0,304.06,313.0,"(304.06,313.0)",308.884065,1.7331769,3.0039022,310.05,313.0,309.3,305.3,307.96
MOD11A2_061_LST_Night_1km_doy2023361000000_aid0001,LST_Night_1km,aid0001,2023-12-27,123.0,292.66,294.22,"(292.66,294.22)",293.4635772,0.3765572,0.1417953,293.68,294.22,293.54,292.68,293.28
MOD11A2_061_LST_Night_1km_doy2024001000000_aid0001,LST_Night_1km,aid0001,2024-01-01,123.0,294.44,296.74,"(294.44,296.74)",295.0318699,0.3680035,0.1354266,295.1,295.5,294.94,294.44,294.83
MOD11A2_061_LST_Night_1km_doy2024009000000_aid0001,LST_Night_1km,aid0001,2024-01-09,123.0,295.86,297.38,"(295.86,297.38)",296.3793496,0.3188693,0.1016776,296.48,296.86,296.34,295.86,296.15
MOD11A2_061_LST_Night_1km_doy2024025000000_aid0001,LST_Night_1km,aid0001,2024-01-25,123.0,291.66,293.22,"(291.66,293.22)",292.558374,0.3479612,0.121077,292.78,293.22,292.62,291.88,292.42
MOD11A2_061_LST_Night_1km_doy2024033000000_aid0001,LST_Night_1km,aid0001,2024-02-02,123.0,293.76,295.94,"(293.76,295.94)",294.6504065,0.3636611,0.1322494,294.85,295.4,294.72,293.88,294.45
MOD11A2_061_LST_Night_1km_doy2024041000000_aid0001,LST_Night_1km,aid0001,2024-02-10,123.0,290.96,296.94,"(290.96,296.94)",295.1294309,1.5768721,2.4865257,296.28,296.94,295.58,292.64,294.78
MOD11A2_061_LST_Night_1km_doy2024049000000_aid0001,LST_Night_1km,aid0001,2024-02-18,123.0,292.78,294.48,"(292.78,294.48)",294.0097561,0.3865828,0.1494463,294.26,294.48,294.14,293.36,293.9
MOD11A2_061_LST_Night_1km_doy2024057000000_aid0001,LST_Night_1km,aid0001,2024-02-26,123.0,294.26,297.3,"(294.26,297.3)",296.5180488,0.7347248,0.5398206,297.02,297.3,296.8,295.46,296.38
