File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024003000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-03,4.0,0.1391416,0.1482519,"(0.1391416,0.1482519)",0.1436967,0.0045552,2.07e-05,0.1482519,0.1482519,0.1436967,0.1391416,0.1391416
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024005000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-05,4.0,0.0867522,0.113166,"(0.0867522,0.113166)",0.0999591,0.0132069,0.0001744,0.113166,0.113166,0.0999591,0.0867522,0.0867522
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024008000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-08,4.0,0.0806141,0.0994126,"(0.0806141,0.0994126)",0.0900134,0.0093993,8.83e-05,0.0994126,0.0994126,0.0900134,0.0806141,0.0806141
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024011000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-11,4.0,0.1397749,0.1529529,"(0.1397749,0.1529529)",0.1463639,0.006589,4.34e-05,0.1529529,0.1529529,0.1463639,0.1397749,0.1397749
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024013000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-13,4.0,0.183792,0.2005319,"(0.183792,0.2005319)",0.1921619,0.00837,7.01e-05,0.2005319,0.2005319,0.192162,0.183792,0.183792
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024016000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-16,4.0,0.1210007,0.1416746,"(0.1210007,0.1416746)",0.1313376,0.010337,0.0001069,0.1416746,0.1416746,0.1313376,0.1210007,0.1210007
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024019000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-19,4.0,0.1499942,0.1673672,"(0.1499942,0.1673672)",0.1586807,0.0086865,7.55e-05,0.1673672,0.1673672,0.1586807,0.1499942,0.1499942
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024021000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-21,4.0,0.2390897,0.295714,"(0.2390897,0.295714)",0.2674018,0.0283122,0.0008016,0.295714,0.295714,0.2674018,0.2390897,0.2390897
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024024000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-24,4.0,0.2280605,0.2450722,"(0.2280605,0.2450722)",0.2365663,0.0085059,7.24e-05,0.2450722,0.2450722,0.2365663,0.2280605,0.2280605
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024027000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-27,4.0,0.1664076,0.1851279,"(0.1664076,0.1851279)",0.1757678,0.0093602,8.76e-05,0.1851279,0.1851279,0.1757678,0.1664076,0.1664076
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024029000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-29,4.0,0.1679848,0.1742921,"(0.1679848,0.1742921)",0.1711384,0.0031537,9.9e-06,0.1742921,0.1742921,0.1711384,0.1679848,0.1679848
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024032000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-02-01,4.0,0.1271155,0.1460476,"(0.1271155,0.1460476)",0.1365816,0.009466,8.96e-05,0.1460476,0.1460476,0.1365816,0.1271155,0.1271155
SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024035000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-02-04,4.0,0.0931702,0.1185273,"(0.0931702,0.1185273)",0.1058488,0.0126786,0.0001607,0.1185273,0.1185273,0.1058488,0.0931702,0.0931702
