File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001013000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 01:30:00 UTC,4.0,0.3466186,0.3510131,"(0.3466186,0.3510131)",0.3488158,0.0021973,4.8e-06,0.3510131,0.3510131,0.3488158,0.3466186,0.3466186
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001043000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 04:30:00 UTC,4.0,0.3466703,0.3510648,"(0.3466703,0.3510648)",0.3488676,0.0021973,4.8e-06,0.3510648,0.3510648,0.3488676,0.3466703,0.3466703
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001073000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 07:30:00 UTC,4.0,0.3466204,0.3510149,"(0.3466204,0.3510149)",0.3488176,0.0021973,4.8e-06,0.3510149,0.3510149,0.3488176,0.3466204,0.3466204
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001103000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 10:30:00 UTC,4.0,0.3465479,0.3509424,"(0.3465479,0.3509424)",0.3487451,0.0021973,4.8e-06,0.3509424,0.3509424,0.3487451,0.3465479,0.3465479
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001133000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 13:30:00 UTC,4.0,0.3455154,0.350032,"(0.3455154,0.350032)",0.3477737,0.0022583,5.1e-06,0.350032,0.350032,0.3477737,0.3455154,0.3455154
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001163000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 16:30:00 UTC,4.0,0.3435943,0.3481109,"(0.3435943,0.3481109)",0.3458526,0.0022583,5.1e-06,0.3481109,0.3481109,0.3458526,0.3435943,0.3435943
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001193000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 19:30:00 UTC,4.0,0.3419955,0.3466342,"(0.3419955,0.3466342)",0.3443148,0.0023193,5.4e-06,0.3466342,0.3466342,0.3443148,0.3419955,0.3419955
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024001223000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-01 22:30:00 UTC,4.0,0.340537,0.3452977,"(0.340537,0.3452977)",0.3429174,0.0023804,5.7e-06,0.3452977,0.3452977,0.3429174,0.340537,0.340537
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002013000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 01:30:00 UTC,4.0,0.3408277,0.3454664,"(0.3408277,0.3454664)",0.343147,0.0023193,5.4e-06,0.3454664,0.3454664,0.343147,0.3408277,0.3408277
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002043000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 04:30:00 UTC,4.0,0.3410278,0.3460327,"(0.3410278,0.3460327)",0.3435302,0.0025024,6.3e-06,0.3460327,0.3460327,0.3435302,0.3410278,0.3410278
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002073000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 07:30:00 UTC,4.0,0.3416853,0.3474226,"(0.3416853,0.3474226)",0.344554,0.0028687,8.2e-06,0.3474226,0.3474226,0.344554,0.3416853,0.3416853
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002103000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 10:30:00 UTC,4.0,0.3416487,0.347386,"(0.3416487,0.347386)",0.3445174,0.0028687,8.2e-06,0.347386,0.347386,0.3445174,0.3416487,0.3416487
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002133000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 13:30:00 UTC,4.0,0.3408656,0.3466029,"(0.3408656,0.3466029)",0.3437343,0.0028687,8.2e-06,0.3466029,0.3466029,0.3437343,0.3408656,0.3408656
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002163000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 16:30:00 UTC,4.0,0.3400478,0.3457851,"(0.3400478,0.3457851)",0.3429165,0.0028687,8.2e-06,0.3457851,0.3457851,0.3429165,0.3400478,0.3400478
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002193000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 19:30:00 UTC,4.0,0.3391885,0.3450479,"(0.3391885,0.3450479)",0.3421182,0.0029297,8.6e-06,0.3450479,0.3450479,0.3421182,0.3391885,0.3391885
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024002223000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-02 22:30:00 UTC,4.0,0.3391436,0.3448809,"(0.3391436,0.3448809)",0.3420122,0.0028687,8.2e-06,0.3448809,0.3448809,0.3420122,0.3391436,0.3391436
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024003013000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-03 01:30:00 UTC,4.0,0.339736,0.3453512,"(0.339736,0.3453512)",0.3425436,0.0028076,7.9e-06,0.3453512,0.3453512,0.3425436,0.339736,0.339736
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024003043000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-03 04:30:00 UTC,4.0,0.3397488,0.345364,"(0.3397488,0.345364)",0.3425564,0.0028076,7.9e-06,0.345364,0.345364,0.3425564,0.3397488,0.3397488
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024003073000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-03 07:30:00 UTC,4.0,0.3396054,0.3453427,"(0.3396054,0.3453427)",0.342474,0.0028687,8.2e-06,0.3453427,0.3453427,0.342474,0.3396054,0.3396054
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024003103000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-03 10:30:00 UTC,4.0,0.3384206,0.3441579,"(0.3384206,0.3441579)",0.3412893,0.0028687,8.2e-06,0.3441579,0.3441579,0.3412893,0.3384206,0.3384206
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024003133000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-03 13:30:00 UTC,4.0,0.3375915,0.3432067,"(0.3375915,0.3432067)",0.3403991,0.0028076,7.9e-06,0.3432067,0.3432067,0.3403991,0.3375915,0.3375915
SPL4SMGP_008_Geophysical_Data_sm_rootzone_doy2024003163000_aid0001,Geophysical_Data_sm_rootzone,aid0001,2024-01-03 16:30:00 UTC,4.0,0.3358391,0.3414544,"(0.3358391,0.3414544)",0.3386467,0.0028076,7.9e-06,0.3414544,0.3414544,0.3386467,0.3358391,0.3358391
